Date,number_sold,day_of_week,month,quarter,day_of_week_sin,day_of_week_cos,lag_1,lag_7,lag_30,rolling_mean_7,rolling_std_7,rolling_min_7,rolling_max_7,rolling_mean_30,rolling_std_30,rolling_min_30,rolling_max_30,rolling_mean_90,rolling_std_90,rolling_min_90,rolling_max_90,rolling_cv_7,rolling_cv_30,rolling_cv_90
2010-03-31,875.0,2,3,1,0.9749279121818236,-0.22252093395631434,866.0,874.0,848.0,867.7142857142857,9.393513466115554,854.0,883.0,865.1666666666666,9.624262921472578,846.0,883.0,844.5444444444445,20.281812914065224,796.0,883.0,0.010825583513797971,0.011124172130386337,0.024015092453076217
2010-04-01,852.0,3,4,2,0.43388373911755823,-0.900968867902419,875.0,870.0,861.0,865.1428571428571,10.991338581334054,852.0,883.0,864.8666666666667,9.895081792394812,846.0,883.0,845.1111111111111,19.757202893306662,796.0,883.0,0.01270465159665429,0.011441164486697155,0.02337823113854325
2010-04-02,873.0,4,4,2,-0.433883739117558,-0.9009688679024191,852.0,864.0,848.0,866.4285714285714,11.355720186424984,852.0,883.0,865.7,9.469187781504942,846.0,883.0,845.8111111111111,19.61476997057946,796.0,883.0,0.013106354708157441,0.010938186186328915,0.023190485101114662
2010-04-03,850.0,5,4,2,-0.9749279121818236,-0.2225209339563146,873.0,854.0,868.0,865.8571428571429,12.15769401693934,850.0,883.0,865.1,9.879794776593736,846.0,883.0,846.1666666666666,19.393761304297936,796.0,883.0,0.014041223910010786,0.011420407787069396,0.022919552457314876
2010-04-04,854.0,6,4,2,-0.7818314824680299,0.6234898018587334,850.0,883.0,861.0,861.7142857142857,10.111285538352345,850.0,875.0,864.8666666666667,10.060963597278823,846.0,883.0,846.8111111111111,18.657705848136832,808.0,883.0,0.011733918893976528,0.011632964924010046,0.022032901556588966
2010-04-05,863.0,0,4,2,0.0,1.0,854.0,862.0,846.0,861.8571428571429,10.123052428797774,850.0,875.0,865.4333333333333,9.420020255244587,846.0,883.0,847.4222222222222,18.268889118197016,811.0,883.0,0.01174562688572591,0.01088474396862218,0.021558189812735766
2010-04-06,871.0,1,4,2,0.7818314824680298,0.6234898018587336,863.0,866.0,868.0,862.5714285714286,10.627905765125096,850.0,875.0,865.5333333333333,9.464027477346892,846.0,883.0,848.0777777777778,18.04067051855458,811.0,883.0,0.012321189194414653,0.010934330444442994,0.021272424524348032
2010-04-07,848.0,2,4,2,0.9749279121818236,-0.22252093395631434,871.0,875.0,850.0,858.7142857142857,10.25856204534011,848.0,873.0,865.4666666666667,9.583510742986753,846.0,883.0,848.2777777777778,17.93748681416888,811.0,883.0,0.01194642061510244,0.0110732291746111,0.021145770034386002
2010-04-08,880.0,3,4,2,0.43388373911755823,-0.900968867902419,848.0,852.0,879.0,862.7142857142857,12.432675841162535,848.0,880.0,865.5,9.633812580054132,846.0,883.0,849.0333333333333,17.824014856871344,811.0,883.0,0.01441111622588802,0.011130921525192527,0.02099330398123907
2010-04-09,883.0,4,4,2,-0.433883739117558,-0.9009688679024191,880.0,873.0,876.0,864.1428571428571,14.252819269984979,848.0,883.0,865.7333333333333,9.975602421818143,846.0,883.0,849.7666666666667,17.84896056520994,811.0,883.0,0.01649359148452552,0.011522719569326363,0.021004543088545803
2010-04-10,877.0,5,4,2,-0.9749279121818236,-0.2225209339563146,883.0,850.0,846.0,868.0,13.416407864998668,848.0,883.0,866.7666666666667,9.452908085049351,848.0,883.0,850.2666666666667,17.975513932112985,811.0,883.0,0.015456691088708143,0.010905943258527114,0.021141030969240613
2010-04-11,877.0,6,4,2,-0.7818314824680299,0.6234898018587334,877.0,854.0,864.0,871.2857142857143,12.175306782093548,848.0,883.0,867.2,9.618229817778843,848.0,883.0,850.7444444444444,18.109257121928202,811.0,883.0,0.013973954332620895,0.011091132169947927,0.021286365418176738
2010-04-12,873.0,0,4,2,0.0,1.0,877.0,863.0,860.0,872.7142857142857,11.614850920470724,848.0,883.0,867.6333333333333,9.575411518423142,848.0,883.0,851.2666666666667,18.06529978106557,811.0,883.0,0.013308881395202992,0.011036242097379625,0.021221669411542292
2010-04-13,863.0,1,4,2,0.7818314824680298,0.6234898018587336,873.0,871.0,867.0,871.5714285714286,12.190941211368614,848.0,883.0,867.5,9.6123125065804,848.0,883.0,851.7222222222222,17.83446214355944,811.0,883.0,0.013987311666871054,0.011080475511908243,0.02093929414807057
2010-04-14,855.0,2,4,2,0.9749279121818236,-0.22252093395631434,863.0,848.0,867.0,872.5714285714286,10.030904626156376,855.0,883.0,867.1,9.879794776593792,848.0,883.0,852.2111111111111,17.300707554826193,812.0,883.0,0.011495797705156293,0.01139406617067673,0.020300964548877524
2010-04-15,844.0,3,4,2,0.43388373911755823,-0.900968867902419,855.0,880.0,871.0,867.4285714285714,14.022091413874284,844.0,883.0,866.2,10.707393513927288,844.0,883.0,852.3,17.236914919876124,812.0,883.0,0.016165125147747032,0.012361340930417094,0.020223999671331837
2010-04-16,864.0,4,4,2,-0.433883739117558,-0.9009688679024191,844.0,883.0,872.0,864.7142857142857,12.229939843328285,844.0,877.0,865.9333333333333,10.657467297412895,844.0,883.0,852.5555555555555,17.237997688090793,812.0,883.0,0.014143330398694531,0.012307491682284505,0.020219207505906053
2010-04-17,864.0,5,4,2,-0.9749279121818236,-0.2225209339563146,864.0,877.0,857.0,862.8571428571429,10.976164652381602,844.0,877.0,866.1666666666666,10.531016040753041,844.0,883.0,853.0666666666667,16.88014590703197,812.0,883.0,0.01272072062362106,0.012158186693191889,0.019787604611244104
2010-04-18,857.0,6,4,2,-0.7818314824680299,0.6234898018587334,864.0,877.0,872.0,860.0,9.12870929175288,844.0,873.0,865.6666666666666,10.60036867717236,844.0,883.0,853.4,16.654317522337045,812.0,883.0,0.010614778246224279,0.012245323847330413,0.019515253717292062
2010-04-19,866.0,0,4,2,0.0,1.0,857.0,873.0,860.0,859.0,7.745966692414999,844.0,866.0,865.8666666666667,10.546231009501458,844.0,883.0,853.8888888888889,16.365519002912727,812.0,883.0,0.009017423390471478,0.012179971138167683,0.019165864804972614
2010-04-20,865.0,1,4,2,0.7818314824680298,0.6234898018587336,866.0,863.0,873.0,859.2857142857143,7.9522383791041875,844.0,866.0,865.6,10.460434486922392,844.0,883.0,854.4222222222222,15.926077673501801,812.0,883.0,0.009254475254152836,0.012084605460862282,0.018639587383484122
