Date,number_sold,lag_1,lag_2,lag_3,lag_7,lag_14,lag_30,rolling_mean_7,rolling_std_7,rolling_min_7,rolling_max_7,rolling_median_7,rolling_mean_14,rolling_std_14,rolling_min_14,rolling_max_14,rolling_median_14,rolling_mean_30,rolling_std_30,rolling_min_30,rolling_max_30,rolling_median_30,exp_smooth_alpha_0.3,exp_smooth_alpha_0.5,exp_smooth_alpha_0.7,day_of_week,month,quarter,week_of_year,is_weekend,is_holiday,fourier_sin_weekly,fourier_cos_weekly,fourier_sin_monthly,fourier_cos_monthly,log_number_sold,boxcox_number_sold,boxcox_lambda
2010-01-01,801.0,828.6737674984784,828.6681887366819,828.6650426309379,828.6503048780488,828.6559731133517,828.6809947804728,828.6833717943135,8.837939235682054,815.1499542822311,842.0176775373362,828.7863456263334,828.6898944061436,9.66886986763396,811.0974343310935,845.9639584605986,828.8187232742822,828.7025168815223,11.045598694575581,805.47605893186,851.4665438919583,828.7943523634132,801.0,801.0,801.0,4,1,1,53,0,0,0.0,1.0,0.0,1.0,6.68586094706836,62.15400036035497,0.5261089299993803
2010-01-02,810.0,801.0,828.6681887366819,828.6650426309379,828.6503048780488,828.6559731133517,828.6809947804728,828.6833717943135,8.837939235682054,815.1499542822311,842.0176775373362,828.7863456263334,828.6898944061436,9.66886986763396,811.0974343310935,845.9639584605986,828.8187232742822,828.7025168815223,11.045598694575581,805.47605893186,851.4665438919583,828.7943523634132,803.6999999999999,805.5,807.3000000000001,5,1,1,53,1,0,0.7818314824680298,0.6234898018587336,0.20791169081775931,0.9781476007338057,6.697034247666484,62.53164695820911,0.5261089299993803
2010-01-03,818.0,810.0,801.0,828.6650426309379,828.6503048780488,828.6559731133517,828.6809947804728,828.6833717943135,8.837939235682054,815.1499542822311,842.0176775373362,828.7863456263334,828.6898944061436,9.66886986763396,811.0974343310935,845.9639584605986,828.8187232742822,828.7025168815223,11.045598694575581,805.47605893186,851.4665438919583,828.7943523634132,807.9899999999999,811.75,814.79,6,1,1,53,1,0,0.9749279121818236,-0.22252093395631434,0.40673664307580015,0.9135454576426009,6.706862336602747,62.86566682151287,0.5261089299993803
2010-01-04,796.0,818.0,810.0,801.0,828.6503048780488,828.6559731133517,828.6809947804728,828.6833717943135,8.837939235682054,815.1499542822311,842.0176775373362,828.7863456263334,828.6898944061436,9.66886986763396,811.0974343310935,845.9639584605986,828.8187232742822,828.7025168815223,11.045598694575581,805.47605893186,851.4665438919583,828.7943523634132,804.3929999999998,803.875,801.637,0,1,1,1,0,0,0.43388373911755823,-0.900968867902419,0.5877852522924731,0.8090169943749475,6.679599185844383,61.94332762595995,0.5261089299993803
2010-01-05,808.0,796.0,818.0,810.0,828.6503048780488,828.6559731133517,828.6809947804728,828.6833717943135,8.837939235682054,815.1499542822311,842.0176775373362,828.7863456263334,828.6898944061436,9.66886986763396,811.0974343310935,845.9639584605986,828.8187232742822,828.7025168815223,11.045598694575581,805.47605893186,851.4665438919583,828.7943523634132,805.4750999999998,805.9375,806.0910999999999,1,1,1,1,0,0,-0.433883739117558,-0.9009688679024191,0.7431448254773941,0.6691306063588582,6.694562058521095,62.44789803415482,0.5261089299993803
2010-01-06,812.0,808.0,796.0,818.0,828.6503048780488,828.6559731133517,828.6809947804728,828.6833717943135,8.837939235682054,815.1499542822311,842.0176775373362,828.7863456263334,828.6898944061436,9.66886986763396,811.0974343310935,845.9639584605986,828.8187232742822,828.7025168815223,11.045598694575581,805.47605893186,851.4665438919583,828.7943523634132,807.4325699999998,808.96875,810.2273299999999,2,1,1,1,0,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,6.699500340161678,62.61529794471611,0.5261089299993803
2010-01-07,830.0,812.0,808.0,796.0,828.6503048780488,828.6559731133517,828.6809947804728,810.7142857142857,10.319389319061829,796.0,830.0,810.0,828.6898944061436,9.66886986763396,811.0974343310935,845.9639584605986,828.8187232742822,828.7025168815223,11.045598694575581,805.47605893186,851.4665438919583,828.7943523634132,814.2027989999998,819.484375,824.068199,3,1,1,1,0,0,-0.7818314824680299,0.6234898018587334,0.9510565162951535,0.30901699437494745,6.721425700790643,63.363807559720634,0.5261089299993803
2010-01-08,812.0,830.0,812.0,808.0,801.0,828.6559731133517,828.6809947804728,812.2857142857143,9.527618286018896,796.0,830.0,812.0,828.6898944061436,9.66886986763396,811.0974343310935,845.9639584605986,828.8187232742822,828.7025168815223,11.045598694575581,805.47605893186,851.4665438919583,828.7943523634132,813.5419592999998,815.7421875,815.6204597000001,4,1,1,1,0,0,-2.4492935982947064e-16,1.0,0.9945218953682733,0.10452846326765346,6.699500340161678,62.61529794471611,0.5261089299993803
2010-01-09,817.0,812.0,830.0,812.0,810.0,828.6559731133517,828.6809947804728,813.2857142857143,9.602295643889176,796.0,830.0,812.0,828.6898944061436,9.66886986763396,811.0974343310935,845.9639584605986,828.8187232742822,828.7025168815223,11.045598694575581,805.47605893186,851.4665438919583,828.7943523634132,814.5793715099999,816.37109375,816.58613791,5,1,1,1,1,0,0.7818314824680296,0.6234898018587337,0.9945218953682734,-0.10452846326765333,6.705639094860003,62.823999260782095,0.5261089299993803
2010-01-10,832.0,817.0,812.0,830.0,818.0,828.6559731133517,828.6809947804728,815.2857142857143,11.621584422521565,796.0,832.0,812.0,828.6898944061436,9.66886986763396,811.0974343310935,845.9639584605986,828.8187232742822,828.7025168815223,11.045598694575581,805.47605893186,851.4665438919583,828.7943523634132,819.8055600569999,824.185546875,827.375841373,6,1,1,1,1,0,0.9749279121818237,-0.2225209339563141,0.9510565162951536,-0.30901699437494734,6.723832440821209,63.4464983638939,0.5261089299993803
